string	string	string	string[]	int[]	float	float	float	float	float	float	float	float	bool	bool	float	float	float	bool	int	int	float	int	float	int	float
id	PI_Data	SkinSign	Bullet	BulletNum	ReloadRatio	ShootRangeRatio	RecoilRatio	MaxLeftRightRecoilRatio	CameraRatioLevel	minCameraRatioLevel	AimDownRatio	SoundRatio	ShowFireEffect	IsSilencerAudio	pressWeaponLength	FireDeployTimeUpRatio	BulletPowerUpRatio	IsModifyBombDamage	FireBulletNum	MaxDelayTimeBulletNum	BulletScaleRatio	CostBulletNum	BombScaleRatio	ZiziBulletDamage	ChargeCostOneBulletTime
唯一标识	拾取的物品	加载的预制	子弹标识	子弹数量	换弹时间	扩散范围 (最远处距离的扩散范围 像素)	减少上升角度百分比	最大水平向左	镜头瞄准默认等级	可调节倍镜的最低等级	开镜倍率权重	声音大小 0 - 1	火花显示	开枪声音	收枪检测长度	射击间隔比例	子弹伤害百分比	子弹伤害百分比是否影响爆炸伤害	散弹子弹数量	射击间隔达到最小值需要的子弹数	子弹缩放比例	消耗子弹数量	爆炸范围缩放比例	滋滋芯片子弹伤害	蓄力消耗1发子弹时间
AngledForegrip	AngledForegrip	AngledForegrip			0	0	0	0.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LaserSight	LaserSight	LaserSight			0	0.15	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VerticalForegrip	VerticalForegrip	VerticalForegrip			0	0	0.15	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VerticalForegrip_Lv4	VerticalForegrip_Lv4	VerticalForegrip_Lv4			0	0	0.15	0.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VerticalForegripTommyGun	VerticalForegrip	VerticalForegripTommyGun			0	0	0.15	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VerticalForegripTommyGun_Lv4	VerticalForegrip_Lv4	VerticalForegripTommyGun_Lv4			0	0	0.15	0.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagTommyGun	ExtendedMagSubmachine	ExtendedMagTommyGun	TommyGun	50	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagAKM	ExtendedMagAssaultRifles	ExtendedMagAKM	AKM|Groza|Groza|QBZ|AK12|Tavor	40|40|40|40|40|45	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagAssaultRifles	ExtendedMagAssaultRifles	ExtendedMagAssaultRifles	SLR|M16A4|M416|SCARL|S12K|Mini14|SKS|VSS|AUG|MK14|MK14|AUG|Tavor	20|40|40|40|8|30|20|20|40|20|20|40|45	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagPistols	ExtendedMagPistols	ExtendedMagPistols	P18C|P92|P1911	25|20|12	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagSinperRifles	ExtendedMagSinperRifles	ExtendedMagSinperRifles	VSS|SKS|M24|AWM|Mini14|MK14|SLR|AWM|MK14	20|20|7|7|30|20|20|7|20	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedMagSubmachine	ExtendedMagSubmachine	ExtendedMagSubmachine	MicroUZI|UMP9|Vector	35|40|35	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagAKM	ExtendedQuickDrawMagAssaultRifles	ExtendedQuickDrawMagAKM	AKM|Groza|Groza|QBZ|AK12|Tavor	40|40|40|40|40|45	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagAKM_Lv4	ExtendedQuickDrawMagAssaultRifles_Lv4	ExtendedQuickDrawMagAKM_Lv4	AKM|Groza|Groza|QBZ|AK12|Tavor	45|45|45|45|45|50	0.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagAssaultRifles	ExtendedQuickDrawMagAssaultRifles	ExtendedQuickDrawMagAssaultRifles	SLR|M16A4|M416|SCARL|S12K|Mini14|SKS|VSS|AUG|MK14|MK14|AUG|Tavor	20|40|40|40|8|30|20|20|40|20|20|40|45	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagAssaultRifles_Lv4	ExtendedQuickDrawMagAssaultRifles_Lv4	ExtendedQuickDrawMagAssaultRifles_Lv4	SLR|M16A4|M416|SCARL|S12K|Mini14|SKS|VSS|AUG|MK14|MK14|AUG|Tavor	25|45|45|45|10|35|25|25|45|25|25|45|50	0.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagPistols	ExtendedQuickDrawMagPistols	ExtendedQuickDrawMagPistols	P18C|P92|P1911	25|20|12	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagSinperRifles	ExtendedQuickDrawMagSinperRifles	ExtendedQuickDrawMagSinperRifles	VSS|SKS|M24|AWM|Mini14|MK14|SLR|AWM|MK14	20|20|7|7|30|20|20|7|20	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagSinperRifles_Lv4	ExtendedQuickDrawMagSinperRifles_Lv4	ExtendedQuickDrawMagSinperRifles_Lv4	VSS|SKS|M24|AWM|Mini14|MK14|SLR|AWM|MK14	25|25|8|8|35|25|25|8|25	0.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
